>
# @D(90,,)|(180.0,,)|UCF_9|UCERF3||(11.0,,)|"Ortigalita (South)"|(1.23,0.35,2.75)|Dextral|(0.0,,)|||||||||||||
# @D(90,,)|(180.0,,)|UCF_90|UCERF3||(14.1000003814697,,)|"Emerson-Copper Mtn 2011"|(1.12,0.33,3.29)|Dextral|(0.0,,)|||||||||||||
-116.179282 34.15781
-116.205275 34.171795
-116.242097 34.211285
-116.266747 34.237947
-116.283789 34.25329
-116.304178 34.308123
-116.316808 34.333549
-116.350279 34.3728
-116.379193 34.406528
-116.417841 34.437626
-116.439143 34.450416
-116.478814 34.471298
-116.494833 34.486404
-116.522526 34.508724
-116.539872 34.529414
-116.573951 34.568548
-116.651362 34.614852
-116.674 34.6475
>
# @D(90,,)|(180.0,,)|UCF_91|UCERF3||(15.8999996185302,,)|"Johnson Valley (No) 2011 rev"|(0.79,0.3,2.18)|Dextral|(0.0,,)|||||||||||||
-116.421 34.1682
-116.437 34.1967
-116.441 34.2736
-116.453901 34.308166
-116.458202 34.313201
-116.481617 34.343383
-116.506919 34.375366
-116.55389 34.410503
-116.584535 34.430325
-116.63191 34.475372
-116.654236 34.49249
-116.694803 34.544745
-116.69808 34.556007
>
# @D(90,,)|(180.0,,)|UCF_92|UCERF3||(15.1000003814697,,)|Kickapoo|(0.81,0.51,1.5)|Dextral|(0.0,,)|||||||||||||
-116.453901 34.308166
-116.450801 34.364116
>
# @D(67,,)|(180.0,,)|UCF_94|UCERF3|E|(15.8999996185302,,)|"Burnt Mtn"|(0.64,0.27,1.64)|Dextral|(0.0,,)|||||||||||||
-116.411983 34.122116
-116.410079 34.093584
-116.412727 34.060684
-116.399837 34.034956
-116.39545 34.013122
-116.395506 33.989177
-116.390507 33.934795
>
# @D(90,,)|(180.0,,)|UCF_95|UCERF3||(15.0,,)|"Eureka Peak"|(1.07,0.0,5.47)|Dextral|(0.0,,)|||||||||||||
-116.342099 33.960741
-116.343171 33.994664
-116.346503 34.009912
-116.353152 34.023916
-116.355143 34.044542
-116.39458 34.122446
>
# @D(82,,)|(180.0,,)|UCF_97|UCERF3|NE|(11.0,,)|Imperial|(11.89,4.69,18.37)|Dextral|(0.0,,)|||||||||||||
-115.169 32.47
-115.499817 32.83587
-115.535858 32.880439
-115.552535 32.925506
>
# @D(90,,)|(180.0,,)|UCF_98|UCERF3||(12.6000003814697,,)|"Superstition Hills"|(2.1,0.19,4.34)|Dextral|(0.0,,)|||||||||||||
-115.895 33.0344
-115.802388 33.008187
-115.664 32.8999
-115.606214 32.830261
>
