>
# @D(60,,)||AUS_457581|AUS_FSD|E||"Redbanks Fault"|(0.018,0.0,0.037)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.552435523638 -34.564960136965
138.569091750679 -34.4543152001939
138.578014729451 -34.3103578093412
138.564927693919 -34.1366571559155
>
# @D(60,,)||AUS_442949|AUS_FSD|E||"Sandergrove Fault"|(0.009,0.0,0.017)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.864999727143 -35.3739420655043
138.906878240846 -35.3101725105479
138.929721066502 -35.2416440335801
138.999201327872 -35.2016690886821
>
# @D(60,,)||AUS_531763|AUS_FSD|NW||"Encounter Bay Fault"|(0.037,0.0,0.074)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.980165639825 -35.0569978595276
138.935431772916 -35.1512245153585
138.882131846385 -35.2635350748337
138.783146268542 -35.4158205792069
138.69653388793 -35.5033847442214
138.58612689726 -35.5899971248336
138.523309126706 -35.6394899137549
>
# @D(60,,)||AUS_442933|AUS_FSD|SE||"Willunga Fault"|(0.046,0.0,0.092)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.28441124172 -35.4281937764371
138.37007183793 -35.3748938499066
138.459539571749 -35.3453885334343
138.567091209213 -35.2682939968454
138.634667901779 -35.1902476758541
138.70034102554 -35.0760335475742
>
# @D(60,,)||AUS_442932|AUS_FSD|E||"Ochre Cove-Clarendon Fault"|(0.021,0.0,0.042)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.46810563137 -35.2188012079241
138.540441245948 -35.1512245153585
138.634667901779 -35.035106818274
138.67178749347 -34.9675301257084
>
# @D(60,,)||AUS_442931|AUS_FSD|E||"Eden-Burnside Fault"|(0.009,0.0,0.018)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.443002317759 -35.1477742969
138.502072437229 -35.0430780126435
138.586781249036 -35.0126209117688
138.681007904867 -34.932671021973
138.786655973526 -34.7242302378622
138.807595230377 -34.6690267425269
>
# @D(60,,)||AUS_528009|AUS_FSD|E||"Meadows-Williamstown (Kitchener)"|(0.009,0.0,0.017)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.877573998454 -34.5113925210713
138.868056154431 -34.452500861177
138.821656664817 -34.3894451445225
138.755626621905 -34.1883806895298
>
# @D(60,,)||AUS_457582|AUS_FSD|E||"Owen Fault"|(0.037,0.0,0.074)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.521502530563 -34.3038142915751
138.512579551791 -34.0860936095416
>
# @D(60,,)||AUS_442930|AUS_FSD|E||"Para Fault"|(0.03,0.0,0.061)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.576572181216 -34.9236341403314
138.602151387029 -34.8534400406594
138.648744396512 -34.8192579788984
138.683053061227 -34.7725383664612
138.686027387485 -34.7249491463445
138.74967796939 -34.6267963798541
138.743134451624 -34.5845609470006
>
# @D(60,,)||AUS_456797|AUS_FSD|E||"Crystal Brook Fault"|(0.011,0.0,0.023)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
138.23016547944 -33.2969264165882
138.176627606809 -33.2562376333886
138.122375895876 -33.112756134737
138.11595135116 -33.0663566451233
138.08311478928 -32.9921174617414
138.050992065701 -32.9057430272297
138.025293886838 -32.8129440480023
>
# @D(70,,)||AUS_443054|AUS_FSD|W||"Haunted Hills Fault"|(0.009,0.0,0.019)|Strike-Slip||Fault_slip_rates_G.doc||||||||||||
146.351939944277 -38.1553641542145
146.328430544077 -38.1915324625601
146.301587638827 -38.2411405262957
146.28909750802 -38.2787885061628
146.283187661703 -38.2995642518346
146.275534392728 -38.3154089189809
>
# @D(70,,)||AUS_457603|AUS_FSD|S||"Italowie Creek Scarp"|(0.003,0.0,0.005)|Strike-Slip||||||||||||||
139.29740594922 -30.617065612992
139.270274713009 -30.5924857938475
139.247845198246 -30.5701283818215
139.231672235504 -30.5558964772488
139.215185886849 -30.542920158427
139.203036636188 -30.5378330633287
139.182323107668 -30.5231641245821
139.17039306931 -30.5038577020483
139.16286681156 -30.4884513806321
139.151679548588 -30.4792102055643
>
# @D(70,,)||AUS_442946|AUS_FSD|W||"Morass Creek Fault"|(0.003,0.0,0.005)|Strike-Slip||"Domain 4 fault database.doc"||||||||||||
147.702686337493 -36.7977876557006
147.704827852572 -36.8146818292126
147.702981860107 -36.8286639593228
147.700575260867 -36.8875903877347
147.699830984654 -36.8941558261565
147.709110882729 -36.9367481788163
147.712918020448 -36.9557838665078
147.730345333828 -36.9782711772088
147.750730839848 -37.0069268156408
147.758916379026 -37.0210241336145
147.767101918205 -37.0369404598948
>
# @D(60,,)||AUS_442888|AUS_FSD|SW||"Berridale Wrench Fault"|(0.004,0.0,0.007)|Strike-Slip||"Domain 4 fault database.doc"||||||||||||
148.626066515308 -36.1651255474413
148.649619096039 -36.1892979332425
148.665930441575 -36.2060385249309
148.679748851987 -36.2170950222177
148.690220558785 -36.2292795918173
148.702221359271 -36.2399469698845
148.718005801127 -36.2539775846798
148.738813807955 -36.2722640188171
148.75670747778 -36.2876014500957
148.787375350818 -36.3118504659477
148.816173601281 -36.3345856845083
148.870656470275 -36.377457450601
148.904636343217 -36.4043925690878
148.937580687697 -36.4313470325958
148.96149316895 -36.451063164043
148.979496975558 -36.4660663364096
149.00165928219 -36.4823964560441
>
# @D(80,,)||AUS_442957|AUS_FSD|E||"Kurrajong Fault complex"|(0.002,0.0,0.003)|Strike-Slip||"Domain 4 fault database.doc"||||||||||||
150.627514097386 -33.6640408809064
150.618897642402 -33.6393272871999
150.610074700901 -33.6119601035217
150.611786277435 -33.5754019828977
150.616580743599 -33.5247651831912
150.629633555693 -33.4974476883946
150.628722350922 -33.4725471728131
150.639176716803 -33.4434871372634
150.64748087206 -33.4288589647843
150.64437872727 -33.4155126427582
150.648257515773 -33.401290417948
>
# @D(70,,)||AUS_579827|AUS_FSD|NE||"Kanawinka Fault"|(0.001,0.0,0.001)|Strike-Slip||||||||||||||
141.437189415909 -37.8381329407867
141.381751606936 -37.7345792979335
141.312685279735 -37.6258125315769
141.254895427443 -37.5421178114056
141.202886222845 -37.4657582251174
141.148149857485 -37.4182823020028
141.100509807049 -37.3717643609666
141.048001748223 -37.3297042231109
141.024020839653 -37.3140887474845
140.984272976921 -37.2795708668332
140.964399045556 -37.2471449782946
>
# @D(70,,)||AUS_442951|AUS_FSD|||"Maruwa Scarp"|(0.002,0.0,0.004)|Strike-Slip||"Nullarbor Fault database.doc"||||||||||||
127.655661415661 -22.1644441243916
127.64436097391 -22.2282583869186
127.648349364587 -22.2548476619972
127.649014096666 -22.2787780105572
127.64369624183 -22.3126793376089
127.616442233773 -22.3525632506765
127.575926971489 -22.3992892887521
127.551787612147 -22.4316245950388
127.532686435541 -22.4602966231153
127.520720841331 -22.4795270427517
>
# @D(70,,)||AUS_466625|AUS_FSD|W||"Dead Horse Creek Fault"|(0.003,0.0,0.005)|Strike-Slip||||||||||||||
128.298565385401 -15.7455158013341
128.2949916766 -15.7592695810999
128.2920591226 -15.7719773155
128.2915354522 -15.7775980441999
128.2872413551 -15.7862211496
128.2817951833 -15.7987194159
128.27809141019 -15.8074553038839
128.273593157881 -15.8146053861609
128.270838047073 -15.8216989055789
128.270477533153 -15.830161912583
128.271578613583 -15.8335694554432
>
# @D(70,,)||AUS_531540|AUS_FSD|||"Woodforde River Lineament"|(0.002,0.0,0.004)|Strike-Slip||"Nullarbor Fault database.doc"||||||||||||
133.292760462413 -22.4619239561672
133.328634321934 -22.3929357654027
133.365887945594 -22.3273969827374
133.391413576321 -22.2687570207674
133.423838025945 -22.2190855225536
133.431426727361 -22.1818318988932
133.434876137258 -22.145268157752
>
# @D(80,,)||AUS_442902|AUS_FSD|||"Alcoota Homestead Fault"|(0.002,0.0,0.004)|Strike-Slip||"Nullarbor Fault database.doc"||||||||||||
134.352605472767 -22.8941163391713
134.372896398174 -22.8844119835809
134.388952695834 -22.8761191705727
134.404479664239 -22.8694143444312
>
# @D(70,,)||AUS_442915|AUS_FSD|N||"Kiewa Fault"|(0.003,0.0,0.005)|Strike-Slip||"Domain 4 fault database.doc"||||||||||||
147.828672463999 -37.4945188278003
147.782446112153 -37.4765497220209
147.732254391064 -37.4405734913992
147.649573704043 -37.395474935987
147.541337169975 -37.3488730945552
147.500748469025 -37.3368468126923
147.450927686052 -37.2933819980542
147.395518504298 -37.2616825521731
147.305321392574 -37.185015007433
147.255712980902 -37.1128573171548
